Protein,MassFraction
PN96_RS14395,0.0029497594393297663
PN96_RS07930,2.7517889797014794e-5
PN96_RS18940,3.964111244877551e-5
PN96_RS03580,2.6091132844307255e-5
PN96_RS00590,1.8033205315308315e-5
PN96_RS12490,0.0007012957461018168
PN96_RS20950,6.47858736969152e-5
PN96_RS08405,0.000319569683605039
PN96_RS00820,2.1417789820062784e-6
PN96_RS12535,6.47129372195582e-5
PN96_RS20655,3.8806891860879535e-5
PN96_RS09515,0.0018292959818739921
PN96_RS22110,4.747878954804287e-6
PN96_RS09380,0.000508456882550353
PN96_RS12890,0.0025698695520722428
PN96_RS13750,0.00034648015374582903
PN96_RS11760,0.0029357575083483185
PN96_RS14820,0.0014615120840185119
PN96_RS02355,0.00035855197104303247
PN96_RS02320,3.357552948087589e-6
PN96_RS03080,0.0030793198616075766
PN96_RS05435,0.0005145010386417414
PN96_RS08610,1.9090789143555315e-6
PN96_RS12475,1.4716921401452037e-5
PN96_RS12250,5.4321407073570985e-6
PN96_RS18410,0.0040115545520568435
PN96_RS02545,8.600579436438666e-5
PN96_RS18905,0.0004068661725456758
PN96_RS00270,0.0013834139844155627
PN96_RS05825,9.81785858642414e-7
PN96_RS15130,0.00014418622275218178
PN96_RS18930,3.4058719864830355e-5
PN96_RS00585,9.88881113944297e-5
PN96_RS00175,0.0004439101370848772
PN96_RS14985,0.0018449361667006875
PN96_RS11755,0.004702233403459623
PN96_RS00265,0.0021150122993234396
PN96_RS02525,0.0036615015073302843
PN96_RS05945,0.00011546252234011182
PN96_RS05370,0.0041312446994678995
PN96_RS13570,0.00018110347227312117
PN96_RS05430,8.760621167913666e-5
PN96_RS14410,0.001717666302899516
PN96_RS15085,1.217914428171594e-5
PN96_RS09435,0.0027495014084725927
PN96_RS12930,0.001418192242508563
PN96_RS01785,0.00013166169399512361
PN96_RS07900,0.00023002694347518384
PN96_RS15120,7.023188981784982e-6
PN96_RS17995,0.0014045728812391869
PN96_RS12480,3.63360517402072e-5
PN96_RS11205,0.005053254594544263
PN96_RS01770,0.00030743353468033394
PN96_RS15175,0.0003711023399012215
PN96_RS10615,0.00017192946907024543
PN96_RS11065,3.230431704964509e-6
PN96_RS07875,0.0004178509734919094
PN96_RS14070,0.001826316990222758
PN96_RS09385,0.005677992361573264
PN96_RS10725,4.7872755169852634e-5
PN96_RS13585,9.44286466195985e-5
PN96_RS18935,3.546602649809604e-5
PN96_RS10730,1.9167373714988742e-5
PN96_RS01130,9.754008424076576e-5
PN96_RS10215,0.00011593789939315886
PN96_RS11260,0.0001607799946879931
PN96_RS04120,0.001232181856941486
PN96_RS00180,0.003434779041461641
PN96_RS05720,0.00021334537997622823
PN96_RS02880,0.00053575340884217
PN96_RS09315,0.0003304371830760266
PN96_RS03970,5.754394802947726e-6
PN96_RS00840,0.00011305129655927773
PN96_RS18920,1.5246840260981726e-5
PN96_RS14075,0.00017204966501056397
PN96_RS15170,0.001867710456260727
PN96_RS10220,0.0002581647143921911
PN96_RS11710,0.0006437190194402466
PN96_RS00280,0.00019654311891832414
PN96_RS03320,5.7134493569542674e-6
PN96_RS02970,0.0015860864073329942
PN96_RS02170,0.0008886838013714908
PN96_RS01240,0.0020040200092299332
PN96_RS11440,0.0008826263535860741
PN96_RS05820,2.5036474454523516e-5
PN96_RS14980,0.0010268624049878275
PN96_RS21300,0.0019154065111518191
PN96_RS07880,0.00033152145953764246
PN96_RS13640,0.00015270834512064516
PN96_RS05685,0.00020043511976990263
PN96_RS13620,0.00012210815911738756
PN96_RS18765,9.540168073560236e-7
PN96_RS14615,0.00018578895547128463
PN96_RS11905,0.001581495188238091
PN96_RS02050,2.5829746979985824e-5
PN96_RS01780,0.0001246556360037129
PN96_RS03960,0.0004427415377313754
PN96_RS13605,8.73533745163687e-5
PN96_RS03965,0.0005756161353076025
PN96_RS05360,0.0002548795556923153
PN96_RS07890,0.0003754501350886661
PN96_RS12630,3.158504041739153e-5
PN96_RS02465,1.7321537742727794e-5
PN96_RS19190,4.7303017511438044e-5
PN96_RS00555,8.166012591011308e-5
PN96_RS14775,0.002239170239597264
PN96_RS08560,0.0012833886322542501
PN96_RS10965,0.00039896888944162726
PN96_RS09240,0.00035889411848212907
PN96_RS11815,1.4810165577330802e-6
PN96_RS08410,0.0007382244334291663
PN96_RS13345,0.005359808160564328
PN96_RS01460,0.008430257859171564
PN96_RS00950,0.0002888706809477915
PN96_RS15065,7.097655386331424e-5
PN96_RS10330,0.005266047298860114
PN96_RS23400,0.0001041648934339951
PN96_RS07515,3.3280829098270304e-5
PN96_RS23215,0.00040015962338924656
PN96_RS05830,0.00022620628460828394
PN96_RS11375,7.61807267106838e-5
PN96_RS03545,0.00038689881390435135
PN96_RS01095,1.7446766058168023e-5
PN96_RS10930,0.00027144663882470424
PN96_RS11330,9.79844099208001e-5
PN96_RS11350,6.879993798400685e-5
PN96_RS03665,0.00015293422106878
PN96_RS10570,0.00040168680463035557
PN96_RS11355,6.337543638953186e-5
PN96_RS18415,0.00010280692163929104
PN96_RS09630,0.013077778369315046
PN96_RS13645,1.2075224925287436e-5
PN96_RS11715,3.7407460104093696e-5
PN96_RS14405,1.48847808259709e-6
PN96_RS03310,0.00022357999829448224
PN96_RS17400,3.545462899636902e-6
PN96_RS00515,0.00011873051742292552
PN96_RS01390,0.00012815453266110563
PN96_RS01365,0.012357019852580753
PN96_RS03630,0.00011070651533590086
PN96_RS21240,0.00041596613210983347
PN96_RS11310,3.822538033243657e-5
PN96_RS20885,0.0009827703392896842
PN96_RS21125,4.540353399967983e-5
PN96_RS09405,0.013298803193895944
PN96_RS02460,7.680760618650157e-5
PN96_RS03555,0.0013412709219019824
PN96_RS10090,0.0038109774942843688
PN96_RS02330,0.00012608154836847305
PN96_RS05150,0.00036689603339451927
PN96_RS07630,1.5330678620695165e-5
PN96_RS13595,0.00202884006319527
PN96_RS09825,0.00012600906546392457
PN96_RS12815,8.798805284532565e-5
PN96_RS00955,9.806825827391034e-5
PN96_RS07895,0.0029793316125513855
PN96_RS00150,3.8085281674953285e-5
PN96_RS10265,0.0011411988596863574
PN96_RS03955,0.0013121449767034452
PN96_RS01115,3.747001493939521e-5
PN96_RS13590,0.009881877753028843
PN96_RS05095,8.275951329403325e-5
PN96_RS00925,0.0016974952129075972
PN96_RS12730,6.304996415085472e-5
PN96_RS00570,0.00010566521633573355
PN96_RS12525,0.00020611614664864958
PN96_RS09830,0.00015703933880289298
PN96_RS02160,5.728323756959578e-5
PN96_RS03550,0.00023088329878473744
PN96_RS18960,0.00033309654026937076
PN96_RS11380,6.51064359672371e-5
PN96_RS10960,0.0003309242912895796
PN96_RS12625,4.668123610697284e-5
PN96_RS13580,0.0008263827163419149
PN96_RS18400,0.00034683389551862264
PN96_RS09395,0.003586271881712221
PN96_RS05840,2.9722399607817198e-5
PN96_RS11720,0.0009552672323767299
PN96_RS05425,6.916809871435878e-5
PN96_RS08465,0.0044801283300555704
PN96_RS09865,5.179998071240295e-5
PN96_RS12220,0.00021312476132344046
PN96_RS21135,0.0005525243382085146
PN96_RS04115,0.00014306756892912086
PN96_RS05935,1.709424632898762e-5
PN96_RS03690,1.4681691430707435e-5
PN96_RS03220,0.002029136674089445
PN96_RS01120,2.8280158593476027e-6
PN96_RS18175,0.0020197612574564096
PN96_RS07905,0.00018704094222951332
PN96_RS15070,0.0002733615348145755
PN96_RS15000,4.092886782524305e-5
PN96_RS10515,0.0002884425451374051
PN96_RS11255,0.003038935634169635
PN96_RS10270,4.8830447899231815e-5
PN96_RS18955,0.00013508917949393487
PN96_RS16775,1.5293564042136074e-5
PN96_RS02365,3.4266844643467365e-5
PN96_RS07445,0.0004929549770554529
PN96_RS09870,0.0002855462906298042
PN96_RS14635,0.0030559066804362175
PN96_RS03315,5.342951701878689e-6
PN96_RS11450,0.00021197702879686216
PN96_RS05100,4.593015843742768e-5
PN96_RS22760,0.00030041505071412734
PN96_RS07870,0.0008085371414112509
PN96_RS09410,3.3929155035788894e-5
PN96_RS11200,0.0019466132402904688
PN96_RS13770,0.00015019824643723768
PN96_RS02310,0.0003779903973388738
PN96_RS06400,0.00014855299266695293
PN96_RS00575,0.00016353658674376066
PN96_RS10575,0.0015421078264599456
PN96_RS16020,0.00010411990259037803
PN96_RS23260,7.868184584313531e-5
PN96_RS08050,9.45544683587315e-5
PN96_RS15005,0.00017072217390825197
PN96_RS20755,0.0001542094488194576
PN96_RS03075,3.951885566221669e-5
PN96_RS13755,0.00040182270986858
PN96_RS07490,7.813904725766205e-5
PN96_RS00920,0.003719843105717542
PN96_RS08600,7.790663145721317e-5
PN96_RS13610,0.00020803909944021407
PN96_RS15010,0.000532936177997165
PN96_RS11250,0.0014604616488926778
PN96_RS14285,4.4078582798077674e-5
PN96_RS02155,0.0006720912111377805
PN96_RS08425,0.0007300411771490212
PN96_RS13650,0.0018723451198818634
PN96_RS02145,0.0022597474402813005
PN96_RS09415,1.4214616579764523e-5
PN96_RS19840,0.007631046026463638
PN96_RS22530,3.314784969153123e-5
PN96_RS11765,0.0027458341501247663
PN96_RS21965,0.00037394321089762636
PN96_RS03235,0.003884664721822884
PN96_RS09495,0.00258024631255491
PN96_RS21755,0.00010153945684435834
PN96_RS11975,2.8850486497991994e-5
PN96_RS01100,0.0006424165578649578
PN96_RS15460,0.00012571552502893958
PN96_RS01235,3.3989632476363697e-6
PN96_RS03300,1.7689546069358622e-5
PN96_RS03565,0.0010932118476084057
PN96_RS09420,0.0011161932272124894
PN96_RS19315,8.368355006689647e-5
PN96_RS02150,0.0017589636427876082
PN96_RS07375,0.00014339250119239152
PN96_RS14960,5.9584426245457784e-5
PN96_RS01375,0.0020450572309518994
PN96_RS02380,0.00029253846102023437
PN96_RS02360,0.0001420843290312634
PN96_RS11445,0.00012984166287956242
PN96_RS13230,2.6034617454143243e-5
PN96_RS02000,0.0013138922212342027
PN96_RS07950,0.002921811058501284
PN96_RS04300,0.00014237615781789037
PN96_RS11010,0.000542084338971639
PN96_RS01105,0.0014047446975880681
PN96_RS11195,0.000854424260700973
PN96_RS02990,0.0006972075947830335
PN96_RS02350,2.8602949719373577e-5
PN96_RS18945,0.00011853883731279064
PN96_RS09390,0.0022017482369165904
PN96_RS05440,8.22970592215416e-5
PN96_RS07425,0.0013052775237119797
PN96_RS11365,0.00016121827461713215
PN96_RS11245,0.009169660875940858
PN96_RS11910,0.0011337617593153843
PN96_RS13600,0.01481688043583476
PN96_RS03975,0.0009097850506622401
PN96_RS14435,0.00012453832773873754
PN96_RS01650,0.000196026210450256
PN96_RS03950,0.0002143813983103538
PN96_RS11985,0.0029038931028534326
PN96_RS07885,0.0003020337093084597
PN96_RS15020,0.00017405501825361558
PN96_RS09400,0.0002905239231073125
PN96_RS11855,0.006136539741047293
PN96_RS04245,0.003400038116548548
PN96_RS11770,0.002131227294792985
PN96_RS11990,0.003420985140683175
PN96_RS15165,0.0008441712967468997
PN96_RS01795,0.0001237737936688114
PN96_RS09035,0.0002221370244864634
PN96_RS22505,0.0004285721594338276
PN96_RS10630,0.0004376560519843034
PN96_RS16595,1.3059191227092182e-5
PN96_RS00050,0.0001663670552372606
PN96_RS01370,0.0010606820603524798
PN96_RS05365,0.00022051817992063281
