Reaction,Flux
BIOMASS,0.9690395251126525
oad,-7.103492074533712
11364,4.838758847422936
18617,0.763722780158206
17277,0.2628031511425597
18181,0.111381353214199
18585,1.608803019324865
27786,10.48295653598583
14729,-1.608803019324904
15901,5.022026952038678
17053,-0.05910744323100348
40523,10.59433788920003
14657,-1.025247785370043
13245,0.111381353214258
EX_57972,-30.31993185923513
28042,20.42527383360228
12556,0.9043192201696719
EX_30089,5.982404731819677
15841,0.9043192201696719
10228,11.70970238260468
14801,3.359857441203453
11352,-5.577346210322586
16845,11.70970238260468
10300,-3.359857441203453
10164,-5.022026952038678
25588,11.59832102939045
17661,-10.12925710931971
18253,3.709302242054932
13677,-0.3837317163429201
11816,-1.156269496698973
10116,0.6415160690271122
12460,-10.89570918151005
11064,1.608803019324904
21432,7.29778829266932
17089,0.2628031511425599
19521,5.577346210322586
